row-cell,Tiktoker name,Tiktok name,"
Followers",Views (Avg.),Likes (Avg.),Comments (Avg.),Shares (Avg.)
133,0,0,19400000,4900000,299100,4000,2700
134,0,0,4000000,2800000,311100,2300,8900
135,0,0,84600,2800000,145900,10800,12800
136,0,0,18700000,5300000,507000,2700,913
137,0,0,9300000,6300000,405700,2600,1100
138,0,0,4700000,1900000,252600,3200,16500
139,0,0,6300000,2700000,515400,4500,2200
140,0,0,1800000,2400000,531100,3800,3400
141,0,0,3400000,3100000,445900,4400,2100
142,0,0,2400000,3500000,551500,2600,2000
143,0,0,4300000,2700000,276600,4900,6600
144,0,0,224500,1400000,349100,6100,11400
145,0,0,13400000,3200000,332300,6900,1100
146,0,0,4600000,2300000,492900,3600,3800
147,0,0,12800000,5500000,490400,2000,1100
148,0,0,2400000,5000000,593600,1800,1000
149,0,0,3100000,2600000,302300,1000,9300
150,0,0,8600000,4700000,682300,1700,851
151,0,0,533200,61100000,70000,539,1300
152,0,0,4500000,2800000,403800,4100,2800
153,0,0,13200000,5200000,744800,1400,627
154,0,0,15000000,2800000,473900,3800,2100
155,0,0,13900000,6000000,862800,1000,464
156,0,0,13400000,2700000,351300,2900,5200
157,0,0,15600000,4700000,854500,893,981
158,0,0,18100000,2900000,492300,2900,2300
159,0,0,21700000,2700000,461400,1800,4200
160,0,0,1800000,3800000,384300,3600,1400
161,0,0,22400000,3000000,562200,2000,2200
162,0,0,4000000,5600000,534500,1200,1200
163,0,0,1500000,2600000,418700,1600,4800
164,0,0,1900000,2700000,365500,3700,3300
165,0,0,3100000,4300000,332100,2500,2100
166,0,0,1100000,2300000,425200,2500,4200
167,0,0,13000000,3000000,546300,1100,3000
168,0,0,13100000,4900000,383000,2500,1000
169,0,0,13900000,3700000,617100,1800,1100
170,0,0,12700000,5500000,495000,1600,774
171,0,0,28600000,4400000,639500,1200,1100
172,0,0,2100000,6100000,301300,423,3100
173,0,0,4200000,2200000,246700,5900,5800
174,0,0,2300000,7600000,181500,3100,1500
175,0,0,198400,1700000,389000,4300,5400
176,0,0,13800000,4300000,667300,1100,1100
177,0,0,4700000,1800000,236100,13500,1200
178,0,0,36300000,3800000,434600,2900,905
179,0,0,74300,3400000,721700,683,1900
180,0,0,2100000,3600000,238800,5600,1600
181,0,0,3300000,1600000,404900,6900,2600
182,0,0,10100000,3700000,334700,608,4300
183,0,0,3000000,5000000,364000,1700,1600
184,0,0,3800000,5100000,406400,2300,500
185,0,0,18300000,3700000,488100,1700,1600
186,0,0,5700000,2700000,450100,1200,3400
187,0,0,326900,4300000,580900,680,1600
188,0,0,5100000,2500000,330300,4800,1900
189,0,0,13000000,5200000,659200,1100,515
190,0,0,6700000,3400000,450100,2900,728
191,0,0,183100,6200000,434500,1600,418
192,0,0,4900000,2800000,324000,1300,4500
193,0,0,947100,4300000,305600,634,3400
194,0,0,11700000,4600000,523700.00000000006,1800,348
195,0,0,7800000,2600000,136200,11800,3000
196,0,0,9100000,3200000,443200,1300,2500
