99,paralympics,25000000,54000000,4678000,18000,63000
100,ÐÐÑÐÐº,64000000,49000000,6601000,27000,35000
101,Connor DeWolfe,54000000,3000000,6284000,16000,9000
102,NgebisOnline,772000,37000000,4984000,59000,44000
103,gustian_magrib,11000000,29000000,2305000,12000,277000
104,éŸçotoha,15000000,34000000,268000,95000,112000
105,IvÃn Lomeli Travel Blogger,44000,24000000,1881000,12000,396000
106,David Guetta,45000000,44000000,4199000,41000,59000
107,Quánh Aka âœ,19000000,47000000,3332000,44000,73000
108,Gianluca Vacchi,215000000,77000000,4771000,2000,28000
109,ash,8717000,34000000,8547000,41000,2000
110,ðŸŽâï ØÛØØØÙÛØØÛÙÙ_ØØÛÙØâïðŸŽ,28000000,81000000,3374000,13000,51000
111,garett nolan,134000000,42000000,3371000,24000,10000
112,Sturnioloâs,4000000,28000000,6542000,76000,2000
113,juliano,99000000,68000000,6252000,3000,1000
114,áŠâšï,7334000,16000000,3509000,27000,25000
115,Zodiac BoyfriendðŸªðŸ,21000000,27000000,4447000,52000,85000
116,LIT killahðŸ,24000000,32000000,4283000,13000,106000
117,stickyboy69,89000000,19000000,4788000,146000,38000
118,ShxtsNGigs Podcast,49000000,36000000,6031000,19000,56000
119,Fael Alegria e Isaac Amendoim,36000000,55000000,3216000,13000,79000
120,Thallysson Borges,107000000,3000000,4501000,38000,81000
121,Sara,79000000,45000000,3649000,63000,31000
122,Mia K,357000000,54000000,6103000,25000,22000
123,ððððð,38000000,3000000,2981000,7000,99000
124,Sofyank96,26000000,45000000,5651000,25000,34000
125,kika,25000000,29000000,5162000,4000,6000
126,ììœì,174000000,35000000,6588000,38000,28000
127,JD Pantoja,305000000,46000000,7519000,35000,799
128,nai,87000000,34000000,9342000,26000,19000
129,Sassa Gurl,66000000,35000000,5653000,31000,41000
130,bargainbethany,1248000,22000000,2087000,18000,283000
131,Terry Reloaded,65000000,23000000,5087000,27000,87000
132,Gordon Ramsay,338000000,64000000,4881000,22000,21000
133,ðŸðððððð ðšðððð,34000000,31000000,7568000,39000,18000
134,General ock,34000000,32000000,4263000,31000,63000
135,Weld Mimoune,11000000,34000000,2985000,28000,98000
136,Iran Ferreira Lai,194000000,42000000,5717000,37000,17000
137,Brooke Monk,236000000,59000000,6789000,19000,14000
138,ÐŸÐÑÐÐÐµÐ ÐÐÐÐÐµÐº,6157000,32000000,1837000,352,213000
139,ØØÙŠØ  ÙŠØÙ,7000000,7000000,2492000,12000,61000
140,Pimrypie,33000000,77000000,4663000,23000,12000
141,Alan,6818000,37000000,636000,35000,18000
142,DAVID DOBRIK,262000000,44000000,4406000,17000,46000
143,GetOnMyLvL,25000000,34000000,4475000,35000,44000
144,Vinnie,149000000,33000000,4871000,46000,27000
145,cellat36,86000000,54000000,3075000,52000,19000
146,benji,59000000,33000000,6438000,22000,32000
147,SEVENTEEN,6000000,19000000,5951000,53000,49000
148,Natalia Hurtado de Mendoza,739000,35000000,2596000,928,118000
149,Logan Paul,159000000,48000000,9769000,14000,1000
150,Andy Arthur Smith,22000000,33000000,5647000,33000,28000
151,Logan Paul,159000000,48000000,9769000,14000,1000
152,Andy Arthur Smith,22000000,33000000,5647000,33000,28000
153,cauwave,14000000,26000000,3966000,27000,82000
154,Nicolle Figueroa,127000000,55000000,7661000,18000,882
155,Brooke Monk,236000000,57000000,6208000,18000,13000
156,Old Time Hawkey,64000000,29000000,4455000,46000,4000
157,ÙÙƒØ _Mix,34000000,48000000,4819000,32000,14000
158,Joe Mele,228000000,57000000,8484000,12000,1000
159,Lord Trunks,22000000,42000000,3869000,3000,36000
160,Payton King,53000000,26000000,325000,48000,76000
161,Squatch and Sons Customs,2136000,77000000,4713000,16000,12000
162,Roce OrdoÃez,84000000,39000000,6786000,22000,17000
163,Clare Thurkett,422000,31000000,7244000,12000,34000
164,Patrick Barnes,24000000,22000000,4172000,39000,73000
165,History Footage,2015000,29000000,3462000,48000,51000
166,blamerobertjames,1593000,35000000,3472000,44000,39000
167,pollerocho,35000000,35000000,5672000,841,42000
168,Fernanda,77000000,45000000,8256000,15000,11000
169,Jaykindafunny,243000000,48000000,6124000,13000,2000
170,AGUS LIPORACE,38000000,34000000,4089000,443,64000
171,JÃºlio Cocielo,5000000,23000000,6759000,2000,41000
172,darylsabara,6957000,36000000,6285000,19000,21000
173,Ninjy Dave,369000,22000000,1302000,1000,306000
174,Sarai Marie,16000000,23000000,4627000,26000,61000
175,ÙÙØ ØØØª  FahadðŸŽ,22000000,45000000,2888000,54000,14000
176,ðŸŒðŸƒ,8807000,32000000,1294000,12000,20000
177,tiara andini,51000000,38000000,4196000,26000,3000
178,ndshvv,32000000,38000000,5524000,34000,764
179,Maia Knight,88000000,47000000,7205000,16000,960
180,ÐÐžÐœÐÐš,444000000,38000000,4898000,36000,11000
181,Lucas and Marcus,362000000,48000000,4531000,28000,11000
182,Jacksepticeye,49000000,23000000,5598000,38000,27000
183,Franck FarfÃn FS,57000000,49000000,3309000,1000,41000
184,DTG,12000000,22000000,2519000,22000,129000
185,Jihan Salsabila,16000000,27000000,3664000,36000,45000
186,Brent Rivera,449000000,49000000,5744000,2000,813
187,Ray  Madalyn,11000000,36000000,4961000,18000,26000
188,Ness,194000000,4000000,4205000,27000,2000
189,Leana Deeb,104000000,39000000,5735000,13000,21000
190,Just Hamilton,29000000,23000000,3711000,19000,7000
191,wilmah10,63000,29000000,2082000,27000,99000
192,Kep1er,48000000,27000000,5185000,36000,17000
193,LoÃc Suberville,24000000,24000000,4581000,16000,52000
194,ðððµð ðŸ,57000000,41000000,2934000,37000,26000
195,Tucker Lindgren,13000000,2000000,444000,31000,53000
196,JVKE,77000000,37000000,5822000,21000,13000
197,ãƒãƒãðŸBayashi,336000000,44000000,492000,26000,786
198,Bilal,35000000,22000000,492000,19000,47000
199,Spice King,195000000,42000000,4141000,28000,13000
200,Duy Tháºm,4000000,5000000,4925000,22000,708
201,Fede Vigevani,146000000,4000000,4572000,27000,11000
202,Iam Cleo,3905000,3000000,3768000,43000,17000
203,Theo Von,27000000,31000000,3208000,11000,56000
204,dafnne â,38000000,37000000,6679000,14000,13000
205,Ashley Enders,638000,41000000,2864000,24000,32000
206,Abir el saghir,147000000,43000000,3028000,28000,23000
207,Priscilla âÌˆ,139000,23000000,5229000,12000,42000
208,Mikaylah,49000000,36000000,3135000,46000,11000
209,Ranboo,43000000,18000000,4148000,7000,16000
210,Fadil Jaidi,87000000,35000000,3907000,29000,18000
211,Diiego Spyckerzs,8085000,28000000,1545000,3000,118000
212,Cat Sonya,174000000,35000000,2877000,1000,53000
213,DBL N officiel ðŸðŸðŸðŸ,22000000,36000000,3929000,24000,21000
214,GavinCasalegno,32000000,22000000,3947000,53000,19000
215,gordeewa__13 ,127000000,54000000,2937000,32000,722
216,ààààŒ àªààà,2757000,131000000,2992000,435,12000
217,Lucas Monteiro,4869000,38000000,4694000,18000,17000
